"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"272","exhaustive_test","OCS","clusterGapped",22,7.72618002065658,NA,NA,NA
"273","exhaustive_test","OCS","clusterGapped",23,8.33127944595964,NA,NA,NA
"274","exhaustive_test","OCS","clusterGapped",24,8.38676482317625,NA,NA,NA
"275","exhaustive_test","OCS","clusterGapped",25,8.18855213586073,NA,NA,NA
"276","exhaustive_test","OCS","clusterGapped",26,7.92452887013905,NA,NA,NA
"277","exhaustive_test","OCS","clusterGapped",27,9.47070973665476,NA,NA,NA
"278","exhaustive_test","OCS","clusterGapped",28,8.13663079841078,NA,NA,NA
"279","exhaustive_test","OCS","clusterGapped",29,7.8010824894135,NA,NA,NA
"280","exhaustive_test","OCS","clusterGapped",30,8.39963345699794,NA,NA,NA
"281","exhaustive_test","OCS","clusterGapped",31,7.76857832827715,NA,NA,NA
"282","exhaustive_test","OCS","clusterGapped",32,8.24541295372133,NA,NA,NA
"283","exhaustive_test","OCS","clusterGapped",33,7.89094993354181,NA,NA,NA
"284","exhaustive_test","OCS","clusterGapped",34,7.93469614580497,NA,NA,NA
"285","exhaustive_test","OCS","clusterGapped",35,8.1398867282793,NA,NA,NA
"286","exhaustive_test","OCS","clusterGapped",36,8.43701583666998,NA,NA,NA
"287","exhaustive_test","OCS","clusterGapped",37,8.14303676906253,NA,NA,NA
"288","exhaustive_test","OCS","clusterGapped",38,7.99437819656846,NA,NA,NA
"289","exhaustive_test","OCS","clusterGapped",39,8.28474432251561,NA,NA,NA
"290","exhaustive_test","OCS","clusterGapped",40,9.19146961779254,NA,NA,NA
"291","exhaustive_test","OCS","clusterGapped",41,7.7986883867716,NA,NA,NA
"292","exhaustive_test","OCS","clusterGapped",42,8.08177227781867,NA,NA,NA
"293","exhaustive_test","OCS","clusterGapped",43,8.57106787048401,NA,NA,NA
"294","exhaustive_test","OCS","clusterGapped",44,8.54921982464988,NA,NA,NA
"295","exhaustive_test","OCS","clusterGapped",45,8.00207169277792,NA,NA,NA
"296","exhaustive_test","OCS","clusterGapped",46,7.86597430568324,NA,NA,NA
"297","exhaustive_test","OCS","clusterGapped",47,7.99891948442714,NA,NA,NA
"298","exhaustive_test","OCS","clusterGapped",48,7.77094541957338,NA,NA,NA
"299","exhaustive_test","OCS","clusterGapped",49,7.8749924460673,NA,NA,NA
"300","exhaustive_test","OCS","clusterGapped",50,8.16361801001341,NA,NA,NA
"301","exhaustive_test","OCS","clusterMedium",1,7.57045842725154,NA,NA,NA
"302","exhaustive_test","OCS","clusterMedium",2,7.54110580314668,NA,NA,NA
"303","exhaustive_test","OCS","clusterMedium",3,7.60109881079798,NA,NA,NA
"304","exhaustive_test","OCS","clusterMedium",4,7.57957409417296,NA,NA,NA
"305","exhaustive_test","OCS","clusterMedium",5,7.60350742230521,NA,NA,NA
"306","exhaustive_test","OCS","clusterMedium",6,7.41436590545608,NA,NA,NA
"307","exhaustive_test","OCS","clusterMedium",7,7.42845939549008,NA,NA,NA
"308","exhaustive_test","OCS","clusterMedium",8,7.74147672455514,NA,NA,NA
"309","exhaustive_test","OCS","clusterMedium",9,7.48505708536196,NA,NA,NA
"310","exhaustive_test","OCS","clusterMedium",10,7.52977795561552,NA,NA,NA
"311","exhaustive_test","OCS","clusterMedium",11,7.58239135448097,NA,NA,NA
"312","exhaustive_test","OCS","clusterMedium",12,7.5599131694187,NA,NA,NA
"313","exhaustive_test","OCS","clusterMedium",13,7.44826311142356,NA,NA,NA
"314","exhaustive_test","OCS","clusterMedium",14,7.4285451775496,NA,NA,NA
"315","exhaustive_test","OCS","clusterMedium",15,7.53122743661944,NA,NA,NA
"316","exhaustive_test","OCS","clusterMedium",16,7.68993753027021,NA,NA,NA
"317","exhaustive_test","OCS","clusterMedium",17,7.43199901283205,NA,NA,NA
"318","exhaustive_test","OCS","clusterMedium",18,7.54581695553591,NA,NA,NA
"319","exhaustive_test","OCS","clusterMedium",19,7.61339557244883,NA,NA,NA
"320","exhaustive_test","OCS","clusterMedium",20,7.53548816693871,NA,NA,NA
"321","exhaustive_test","OCS","clusterMedium",21,7.53708719886568,NA,NA,NA
"322","exhaustive_test","OCS","clusterMedium",22,7.41993765992231,NA,NA,NA
"323","exhaustive_test","OCS","clusterMedium",23,7.47206118471466,NA,NA,NA
"324","exhaustive_test","OCS","clusterMedium",24,7.51501762372263,NA,NA,NA
"325","exhaustive_test","OCS","clusterMedium",25,7.63546228731434,NA,NA,NA
"326","exhaustive_test","OCS","clusterMedium",26,7.41183812890958,NA,NA,NA
"327","exhaustive_test","OCS","clusterMedium",27,7.59022366203495,NA,NA,NA
